Name,Category,Description,Full_Prompt,Intended_Recipient,Specific_Service,Source_URL,Author_Reference,Example_Images,Style_Keywords,Difficulty_Level,Use_Case
3D Modeling Clay,Crafts & Materials,Create 3D emoji sculptures that look like colorful hand-molded modeling clay,"Create a highly detailed 3D rendering of the {EMOJI OR REFERENCE IMAGE} sculpted from colorful modeling clay. The emoji should show visible fingerprints, uneven textures, and slight imperfections like real hand-molded clay. Use bright pastel colors and soft natural lighting on a neutral background. The modeling clay must look slightly matte and squishy, with an organic, childlike charm. Center the emoji in the frame.",Image Generator,"Blender, Cinema 4D, Midjourney",https://x.com/Anima_Labs/status/1913173006454608255,@Anima_Labs,GozumC-WoAAdcu1.jpeg,"modeling clay, 3D rendering, fingerprints, pastel colors, childlike",Medium,"Educational content, craft tutorials, emoji redesign"
Felt Fabric,Crafts & Materials,Transform logos into soft felt fabric creations with hand-sewn details,"Create a highly detailed 3D rendering of this logo made from colorful felt fabric. The logo should have a soft, slightly fuzzy texture, with visible seams and hand-sewn details. Use [bright or pastel] colors and soft natural light against a black background. Emphasize the handmade, artisanal, and warm feel of the felt emoji. Center the felt fabric logo in the image without adding any elements.",Image Generator,"Blender, Cinema 4D, Midjourney",https://x.com/Anima_Labs/status/1913513222855938151,@Anima_Labs,Go4psPAWUAAT5mW.jpeg,"felt fabric, hand-sewn, artisanal, fuzzy texture, handmade",Medium,"Craft branding, textile design, artisanal products"
Knitted Texture,Crafts & Materials,Create knit yarn versions of logos with visible knitting patterns and textures,"Transform the attached image into a soft, cozy knit creation made entirely of yarn. Render the logo as if it were handcrafted with visible knitting patterns like stockinette, ribbing, or seed stitch, using vibrant, color-varied yarns. Emphasize the woven, interlocking structure of the symbol with realistic fuzzy textures and slight thread imperfections to evoke warmth and craftsmanship. Style the overall piece like a plush toy or a winter holiday decoration. Use warm, indoor lighting and place the knit logo on a wood-textured table for a cozy, homey aesthetic. keep the original form, make it stuffed (like a stuffed toy)",Image Generator,"Blender, Cinema 4D, Midjourney",https://x.com/liorpesoa/status/1913335680635384230,@liorpesoa,Go2IIE8WUAASM85.jpeg,"knitted, yarn, stockinette, plush toy, cozy, handcrafted",Hard,"Winter branding, craft design, holiday content"
Embroidery Patches,Crafts & Materials,Create embroidered patch designs with tight stitching and cream borders,"Embroidered patch style with tight, uniform directional stitches, dark consistent thread outline, cream thread border. Even diffuse lighting with zero shadows, pure white background, centered flat orthographic view, high fidelity embroidery texture with realistic thread lines and clean vector-like edges.",Image Generator,"Midjourney, Photoshop",https://x.com/devDanaher/status/1913258994853941665,@devDanaher,Go03IzjWcAAbVSv.jpeg,"embroidery, patches, stitching, thread outline, uniform",Hard,"Fashion accessories, badge design, vintage branding"
Funko Pop,Collectibles & Toys,Transform people into Funko Pop style plastic figures with packaging,Prompt 1: turn me into a funko pop plastic character. Prompt 2: now put inside the packaging with the title [YOUR NAME HERE] on the box,Image Generator,"ChatGPT, Midjourney",Custom,User created,"Screenshot_2025-04-21_at_12.37.20_PM.jpg, Screenshot_2025-04-21_at_12.37.25_PM.jpg, ChatGPT_Image_Apr_21_2025_12_36_38_PM.png","Funko Pop, plastic figure, collectible, packaging, toy",Easy,"Personal collectibles, fan art, gift creation"
Chibi Mini-fig,Collectibles & Toys,Create chibi-style miniature figures inside glass gashapon capsules,"Generate a portrait image of a detailed, all-glass gashapon capsule, held between two fingers. Inside the capsule is a miniature version of myself and the same face as the person in the photo, chibi-style, life-size, based on the attached photo. The chibi character is holding a macbook pro. Make sure the design emphasizes the realism of the capsule and the collectible charm of the chibi figure inside",Image Generator,"ChatGPT, Midjourney",Custom,User created,ChatGPT_Image_Apr_27_2025_11_38_33_PM.png,"chibi, gashapon, miniature, glass capsule, collectible",Medium,"Personal avatars, collectible design, kawaii style"
Lego Mini-fig,Collectibles & Toys,Create custom LEGO minifigures with detailed accessories and poses,"A custom LEGO minifig of [NAME], smiling with a short brown printed beard and bright blue eyes. He wears a black cap with yellow text, a black polo torso, and blue jean legs. The fig sits cross-legged, holding a tiny silver laptop with a glowing apple logo. Shoot a close-up on a clean pastel gradient backdrop, soft studio lights, crisp focus on the glossy plastic, gentle shadows, ultra-high resolution.",Image Generator,"ChatGPT, Midjourney",Custom,User created,ChatGPT_Image_Apr_27_2025_11_42_06_PM.png,"LEGO, minifig, custom, glossy plastic, studio lighting",Medium,"LEGO art, personal branding, collectible design"
Plushie Toy,Collectibles & Toys,Create hand-sewn plush toy versions of people with soft textures,"A cute hand-sewn plush of [NAME], soft fleece skin, brown stitched beard, bright blue embroidered eyes, wearing a black cap with yellow text, black polo shirt, tiny denim jeans, sitting cross-legged and hugging a small felt MacBook Pro with a glowing apple icon. Shoot in soft studio light, pastel gradient backdrop, crisp focus on the plush texture, shallow depth of field, ultra-high resolution, looks extra huggable.",Image Generator,"ChatGPT, Midjourney",Custom,User created,ChatGPT_Image_Apr_27_2025_11_38_31_PM.png,"plushie, hand-sewn, fleece, embroidered, huggable",Medium,"Toy design, personal gifts, comfort objects"
Amiibo Mini-fig,Collectibles & Toys,Create Nintendo Amiibo-style plastic figures with glossy finish and bases,"Amiibo-style plastic figure of [NAME], glossy finish, sitting cross-legged on a smooth black round base with a small silver logo at the front. He sports a black cap with yellow text, a black polo shirt, blue jeans, and brown shoes. Bright blue eyes, short brown beard, friendly grin. Both hands hold an open silver MacBook Pro with a softly glowing apple icon. Studio lighting with gentle reflections on the plastic, pastel gradient backdrop, shallow depth of field, ultra-high resolution.",Image Generator,"ChatGPT, Midjourney",Custom,User created,ChatGPT_Image_Apr_27_2025_11_49_35_PM.png,"Amiibo, plastic figure, glossy finish, Nintendo style, collectible",Medium,"Gaming collectibles, Nintendo fan art, figurine design"
Bobble Head,Collectibles & Toys,Create classic bobblehead figures with oversized spring-neck heads,"A classic bobblehead of [NAME], oversized spring-neck head, bright blue eyes, short brown beard, friendly grin. He wears a black cap with yellow text, black polo shirt, blue jeans, brown shoes. The figure stands on a round black base labeled with silver text. One hand holds an open silver MacBook Pro with a glowing apple icon. Shoot under soft studio lights on a pastel gradient backdrop, crisp focus on glossy plastic, gentle reflections, shallow depth of field, ultra-high resolution.",Image Generator,"ChatGPT, Midjourney",Custom,User created,ChatGPT_Image_Apr_27_2025_11_52_45_PM.png,"bobblehead, spring-neck, oversized head, glossy plastic",Easy,"Desk accessories, novelty gifts, sports memorabilia"
Enamel Pins,Fashion & Accessories,Transform subjects into kawaii enamel pin designs with glossy metal outlines,Turn the subject in the attached image into a kawaii enamel pin. Use glossy metal outlines and vibrant enamel fill. No extra added features. Square mockup format.,Image Generator,"Midjourney, Illustrator",https://x.com/gnrlyxyz/status/1914303110853583302,@gnrlyxyz,GpCYQmuXUAEB53A.jpeg,"enamel pin, kawaii, glossy metal, vibrant colors, square mockup",Medium,"Fashion accessories, pin collections, kawaii merchandise"
Glossy Circuit Device,Tech & Electronics,Create isometric 3D translucent toys with circuit patterns and chips inside,"Generate a 1:1 image Transform a flat vector of [ icon/emoji ] into an isometric 3d glossy translucent toy with delicate circuit, chips inside, while keep the shape and color. The toy is in the air, white background.",Image Generator,"Blender, Cinema 4D",https://x.com/hc_dsn/status/1914144510684336303,@hc_dsn,GpBlkn3aYAADjhY.jpeg,"isometric, translucent, circuit patterns, chips, glossy toy",Hard,"Tech branding, electronic design, futuristic aesthetics"
Emoji Rugs,Home Decor,"Create hand-tufted rugs in emoji shapes with bold, playful designs","Create image of A colorful, hand-tufted rug in the shape of the attached image, placed on a simple tiled background. The rug has a bold, playful design with soft, fluffy texture and thick yarn details. Shot from above, in natural daylight, with a slightly quirky, DIY aesthetic. Vibrant colors, cartoonish outlines, and tactile, cozy material—similar to handmade tufted art rugs.",Image Generator,"Midjourney, Photoshop",https://x.com/gizakdag/status/1913963127902818711,@gizakdag,Go-fC-OWcAA7yAX.jpeg,"hand-tufted, rug, emoji shape, fluffy texture, DIY aesthetic",Medium,"Home decor, textile art, interior design"
Glowing Anatomy,Medical & Educational,Create digital illustrations with glowing blue anatomical outlines,"A digital illustration of a [SUBJECT], portrayed with a network of glowing clean pristine blue lines outlining its anatomy. The image is set against a dark background, highlighting the [SUBJECT] form and features. A specific area such as [PART] is emphasized with a red glow to indicate a point of interest or significance. The style is both educational and visually captivating, designed to resemble an advanced imaging technique",Image Generator,"Midjourney, Photoshop",https://x.com/umesh_ai/status/1914644426334314545,@umesh_ai,GpIu9UqWEAAcQ1V.jpeg,"glowing anatomy, blue lines, educational, medical imaging, dark background",Hard,"Medical education, scientific illustration, health presentations"
Lego Boxes,Collectibles & Toys,Create LEGO product box designs with cinematic vehicle displays,"Lego box of [vehicle name] from [franchise or universe], displayed in perspective view on a neutral background. The packaging shows [describe box design elements: color scheme, logo placement, artwork style]. cinematic, soft studio lighting.",Image Generator,"Midjourney, Photoshop",https://x.com/CharaspowerAI/status/1915065683366289566,@CharaspowerAI,Screenshot_2025-04-24_at_10.49.48_PM.jpg,"LEGO box, packaging design, cinematic, studio lighting, perspective",Medium,"Product packaging, LEGO fan art, collectible design"